determination_status,app_date_day_of_week,acceptance_date_isNA,acc_date_day_of_week,time_to_acceptance,payment_sched_provided,business_type_claimant_Consultant,business_type_claimant_Developer,business_type_claimant_Head contractor,business_type_claimant_Major subcontractor,business_type_claimant_Manufacturer of building materials or components,business_type_claimant_Other,business_type_claimant_Project manager,business_type_claimant_Supplier,business_type_claimant_Trade Contractor,business_type_claimant_Trade subcontractor,business_structure_claimant_Ltd Company,business_structure_claimant_Other,business_structure_claimant_Partnership,business_structure_claimant_Pty Ltd Company,business_structure_claimant_Sole Trader,business_structure_claimant_Sole trader,business_structure_claimant_Trust,claimant_advisers_Claim preparer,claimant_advisers_Consultant,claimant_advisers_None,claimant_advisers_Not known,claimant_advisers_Solicitors,business_type_respondent_Developer,business_type_respondent_Head contractor,business_type_respondent_Major Subcontractor,business_type_respondent_Major subcontractor,business_type_respondent_Manufacturer of building materials or components,business_type_respondent_Other,business_type_respondent_Project manager,business_structure_respondent_Other,business_structure_respondent_Partnership,business_structure_respondent_Pty Ltd Company,business_structure_respondent_Sole Trader,business_structure_respondent_Trust,respondent_advisers_Consultant,respondent_advisers_None,respondent_advisers_Not determined,respondent_advisers_Not known,respondent_advisers_Response preparer,respondent_advisers_Solicitors,notice_sent_to_claimant_No,notice_sent_to_claimant_Not yet determined,notice_sent_to_claimant_Yes,extension_of_time_sought_No,extension_of_time_sought_No ,extension_of_time_sought_Not yet determined,extension_of_time_sought_Yes,claimed_amount,claim_region_inf,claim_region_1,claim_region_2,claim_region_3,irsad_score,decile_score,category_Construction,category_Design,category_Other,category_Supply
1,0.5714285714285714,0,0.2857142857142857,0.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.4064483801839782,0,0,0,1,-1.3111762773646252,0.2,0,0,0,1
1,0.5714285714285714,0,0.2857142857142857,0.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1.3657934939349141,0,0,0,1,-1.3111762773646252,0.2,0,0,0,1
1,0.5714285714285714,0,0.2857142857142857,0.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.9535373802572024,0,0,0,1,-0.35921265732251045,0.5,0,0,0,1
0,0.2857142857142857,0,0.0,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.16708902690596894,0,1,0,0,2.209578063426053,1.0,1,0,0,0
0,0.42857142857142855,1,0.28251599147121537,0.20335820895522388,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.15650170113822315,0,1,0,0,2.1793569961231287,1.0,0,0,1,0
1,0.5714285714285714,0,0.2857142857142857,0.25,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.09415634753786423,0,0,0,1,-1.6889396186511785,0.1,0,0,0,1
0,0.2857142857142857,1,0.28251599147121537,0.20335820895522388,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.2570845090190176,0,1,0,0,1.9829200586541207,1.0,0,0,1,0
1,0.42857142857142855,0,0.2857142857142857,0.3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.6117786792010346,0,1,0,0,-1.0542972052897688,0.3,0,0,1,0
0,0.5714285714285714,0,0.2857142857142857,0.25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.6360321099595521,0,1,0,0,1.2122828424295518,0.9,0,0,1,0
0,0.5714285714285714,1,0.28251599147121537,0.20335820895522388,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.8441796472944142,0,1,0,0,0.5927509627196041,0.8,0,0,1,0
0,0.0,0,0.2857142857142857,0.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.27729193023693494,0,1,0,0,2.0886937942143557,1.0,1,0,0,0
1,0.14285714285714285,0,0.0,0.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.2731568425373534,0,1,0,0,0.5927509627196041,0.8,1,0,0,0
0,0.14285714285714285,0,0.5714285714285714,0.15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.207487580020758,0,1,0,0,0.2754297560388993,0.7,0,0,1,0
0,0.14285714285714285,0,0.5714285714285714,0.15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.5648498017845789,0,1,0,0,1.9526989913511965,1.0,0,0,1,0
0,0.14285714285714285,0,0.5714285714285714,0.15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.8559450136142334,0,1,0,0,-1.4622816138792465,0.2,0,0,1,0
0,0.14285714285714285,0,0.5714285714285714,0.15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.8905092276023006,0,1,0,0,-0.6463127967002911,0.4,0,0,1,0
0,0.14285714285714285,0,0.5714285714285714,0.15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.2554174187876328,0,1,0,0,1.2576144433839382,0.9,0,0,1,0
0,0.14285714285714285,0,0.5714285714285714,0.15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.3466356611809218,0,1,0,0,-0.6463127967002911,0.4,0,0,1,0
0,0.14285714285714285,0,0.2857142857142857,0.05,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.2089155830692642,0,1,0,0,0.16965602047866432,0.7,0,0,1,0
1,0.5714285714285714,0,0.2857142857142857,0.25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0.47792522221872435,0,0,0,1,-0.2081073208078891,0.6,1,0,0,0
0,0.5714285714285714,1,0.28251599147121537,0.20335820895522388,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.17327275000132636,0,1,0,0,1.3784987125956354,0.9,0,1,0,0
1,0.0,0,0.14285714285714285,0.05,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.15623453676205257,0,1,0,0,0.804298433840074,0.8,0,0,1,0
0,0.14285714285714285,1,0.28251599147121537,0.20335820895522388,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.2006297412170458,0,0,1,0,0.9705143040061576,0.9,0,0,1,0
0,0.2857142857142857,0,0.5714285714285714,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.0987600761966359,0,1,0,0,2.209578063426053,1.0,1,0,0,0
1,0.2857142857142857,0,0.14285714285714285,0.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.6448703159664262,0,1,0,0,1.454051380852946,1.0,0,0,1,0
1,0.42857142857142855,0,0.14285714285714285,0.25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.8260606708304459,0,1,0,0,1.7562620538821887,1.0,0,0,1,0
1,0.5714285714285714,0,0.0,0.15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.15623453676205257,0,1,0,0,0.01855068396404296,0.6,1,0,0,0
1,0.14285714285714285,0,0.5714285714285714,0.15,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1.042797139533725,0,1,0,0,0.4265350925535207,0.8,1,0,0,0
1,0.5714285714285714,0,0.2857142857142857,0.25,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-0.8564164595976931,0,1,0,0,-5.481683565168175,0.1,0,0,0,1
