




﻿No. of App.,Application date,Acceptance date,Description of project and contract works,Project postcode,Claimed amount (ex GST),Payment Schedule provided,Payment Schedule provision,Amount of Payment Schedule (ex GST),Section of Act application made under,Section 18(2) notice issued,Business Type/Activity (Claimant),Business Structure (Claimant),Claimant advisers,Business Type/Activity (Respondent),Business Structure (Respondent),Respondent advisers,Determination status,Determination completion date,Reasons if the application is not determined,s21(2B) new reasons provided by Respondent,s21(2B) notice sent to Claimant,s22(4)(b) extension of time sought,Determination released,Determination released date, Adjudicated amount (ex GST) ,Amended determination,Fee type,Total Adjudicator fee (ex GST),Adjudicator's fee payable by Claimant %,Adjudicator's fee payable by Respondent %,Adjudicator's fee payable by Claimant (ex GST),Adjudicator's fee payable by Respondent (ex GST),Other Adjudicator fees,Value of other Adjudicator fees (ex GST),ANA application fee (ex GST),Adjudication Certificate issued,Adjudication Certificate fee (ex GST),Date Adjudication Certificate issued,Other ANA fees,Value of Other ANA fees (ex GST),Adjudicator fee charged,ANA percentage of Adjudicator fee %,ANA fee from Adjudicator fee (ex GST),Adjudicator share of adjudicator fee - amount
109,19-Oct-2021,22-Oct-2021,Painting works,3047,"10,268.20",Yes,s15,"8,013.80",s.18(1)(a)(ii),N/A,Trade subcontractor,Pty Ltd Company,Claim preparer,Head contractor,Pty Ltd Company,None,Determined,05-Nov-2021,N/A,Yes,Yes,No,Yes,08-Nov-2021,"9,014.11",No,Fixed,990.00,0.0000%,100.0000%,0.00,990.00,Merchant Fee,7.33,0.00,No,N/A,N/A,N/A,N/A,Yes,33.3333%,330.00,660.00
110,21-Oct-2021,27-Oct-2021,Plumbing works,3079,"138,669.89",Yes,s15,0.00,s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Not determined,,Settled by parties,No,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
111,22-Oct-2021,27-Oct-2021,Sales and Marketing Services,3187,"12,000.00",No,N/A,N/A,s.18(1)(b),Yes,Consultant,Pty Ltd Company,None,Other,Pty Ltd Company,Solicitors,Determined,03-Nov-2021,N/A,N/A,N/A,No,Yes,03-Nov-2021,0.00,No,N/A,0.00,0.0000%,0.0000%,0.00,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
112,22-Oct-2021,N/A,Structural steel works,3177,"30,953.89",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
113,26-Oct-2021,29-Oct-2021,Plumbing and roofing works,3189,"12,553.04",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Sole trader,None,Other,Other,None,Determined,12-Nov-2021,N/A,N/A,N/A,No,Yes,16-Nov-2021,0.00,No,Fixed,990.00,100.0000%,0.0000%,990.00,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,Yes,33.3333%,330.00,660.00
114,26-Oct-2021,27-Oct-2021,Roofing works,3337,"11,431.12",Yes,s15,0.00,s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,08-Nov-2021,N/A,No,N/A,No,Yes,09-Nov-2021,"3,934.56",No,Capped,"1,200.00",50.0000%,50.0000%,600.00,600.00,N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,180.00,"1,020.00"
115,27-Oct-2021,28-Oct-2021,Construction works,3123,"437,416.65",Yes,s15,0.00,s.18(1)(a)(i),N/A,Major subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Determined,19-Nov-2021,N/A,Yes,Yes,Yes,Yes,22-Nov-2021,"317,554.48",No,Hourly,"22,000.00",50.0000%,50.0000%,"11,000.00","11,000.00",N/A,N/A,0.00,Yes,0.00,01-Dec-2021,N/A,N/A,Yes,15.0000%,"3,300.00","18,700.00"
116,29-Oct-2021,03-Nov-2021,Plastering of partitions and ceilings,3040,"145,099.20",Yes,s15,"138,142.72",s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Settled by parties,No,N/A,No,N/A,N/A,N/A,N/A,Hourly,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,0.00
117,29-Oct-2021,03-Nov-2021,Post-tensioning works,3146,"30,958.00",Yes,s15,"29,922.27",s.18(1)(a)(ii),N/A,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Capped,0.00,0.0000%,0.0000%,0.00,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,No,0.0000%,0.00,0.00
118,05-Nov-2021,10-Nov-2021,Air-conditioning mechanical services,3585,"46,499.99",Yes,s15,0.00,s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,None,Not determined,,Timed out,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,0.00
119,05-Nov-2021,10-Nov-2021,Plumbing works,3934,"4,529.30",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Other,None,Head contractor,Pty Ltd Company,None,Determined,19-Nov-2021,N/A,No,N/A,No,Yes,23-Nov-2021,"4,117.55",No,Capped,"1,200.00",0.0000%,100.0000%,0.00,"1,200.00",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,180.00,"1,020.00"
120,09-Nov-2021,N/A,Construction of townhouses,3193,"627,592.74",Yes,s15,"209,559.57",s.18(1)(a)(i),N/A,Head contractor,Pty Ltd Company,None,Developer,Pty Ltd Company,None,Not determined,,Settled by parties,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
121,09-Nov-2021,12-Nov-2021,"Design, supply and installation of concrete post-tensioning ",3186,"25,312.50",Yes,s15,"2,250.00",s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,03-Dec-2021,N/A,No,N/A,No,Yes,07-Dec-2021,"2,250.00",No,Hourly,"4,261.36",100.0000%,0.0000%,"4,261.36",0.00,N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,33.3333%,"1,420.45","2,840.91"
122,11-Nov-2021,13-Nov-2021,Concreting works,3212,"87,846.08",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,22-Nov-2021,N/A,No,N/A,No,Yes,24-Nov-2021,"87,846.08",No,Capped,"5,000.00",0.0000%,100.0000%,0.00,"5,000.00",N/A,N/A,0.00,Yes,0.00,20-Dec-2021,N/A,N/A,Yes,15.0000%,750.00,"4,250.00"
123,11-Nov-2021,16-Nov-2021,Supply and install window and door glazing,3067,"7,005.07",No,N/A,N/A,s.18(1)(b),Yes,Supplier,Pty Ltd Company,None,Developer,Pty Ltd Company,None,Determined,02-Dec-2021,N/A,No,N/A,No,Yes,03-Dec-2021,"7,005.07",No,Hourly,906.82,0.0000%,100.0000%,0.00,906.82,Merchant Fee,6.71,0.00,Yes,100.00,13-Dec-2021,Merchant Fee,0.74,Yes,33.3333%,302.27,604.55
124,16-Nov-2021,22-Nov-2021,Bridge replacement,3351,"19,300.18",No,N/A,N/A,s.18(1)(b),Yes,Head contractor,Pty Ltd Company,Claim preparer,Project manager,Other,None,Determined,13-Dec-2021,N/A,N/A,N/A,No,Yes,15-Dec-2021,"19,300.18",No,Hourly,"2,461.36",0.0000%,100.0000%,0.00,"2,461.36",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,33.3333%,820.45,"1,640.91"
125,16-Nov-2021,19-Nov-2021,Roofing on new apartments,3082,"24,065.45",Yes,s15,0.00,s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,None,Major subcontractor,Pty Ltd Company,None,Determined,30-Nov-2021,N/A,No,N/A,No,Yes,01-Dec-2021,0.00,No,Hourly,"1,036.36",100.0000%,0.0000%,"1,036.36",0.00,Merchant Fee,6.84,0.00,No,N/A,N/A,N/A,N/A,Yes,33.3333%,345.45,690.91
126,18-Nov-2021,25-Nov-2021,Concrete works,3058,"49,794.79",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Trust,Claim preparer,Head contractor,Pty Ltd Company,None,Determined,08-Dec-2021,N/A,N/A,N/A,No,Yes,10-Dec-2021,"48,094.79",No,Hourly,"5,931.82",0.0000%,100.0000%,0.00,"5,931.82",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,33.3333%,"1,977.27","3,954.55"
127,22-Nov-2021,25-Nov-2021,"Design, supply and installation of concrete post-tensioning ",3056,"21,362.72",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Timed out,N/A,N/A,No,N/A,N/A,N/A,N/A,Hourly,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
128,22-Nov-2021,25-Nov-2021,"Supply and deliver prefabricated metal framing, floor joists, roof trusses and stairs",3058,"174,164.53",No,N/A,N/A,s.18(1)(b),Yes,Supplier,Pty Ltd Company,None,Head contractor,Pty Ltd Company,,Determined,09-Dec-2021,N/A,N/A,N/A,No,Yes,10-Dec-2021,0.00,No,Hourly,"1,534.09",100.0000%,0.0000%,"1,534.09",0.00,Merchant Fee,20.55,0.00,No,N/A,N/A,N/A,N/A,Yes,33.3333%,511.36,"1,022.73"
129,23-Nov-2021,29-Nov-2021,Early works,3128,"26,070.00",Yes,s15,0.00,s.18(1)(a)(i),N/A,Head contractor,Pty Ltd Company,Solicitors,Developer,Pty Ltd Company,Solicitors,Determined,15-Dec-2021,N/A,Yes,Yes,Yes,Yes,15-Dec-2021,"26,070.00",,Hourly,"4,090.91",0.0000%,100.0000%,0.00,"4,090.91",Merchant Fee,53.59,N/A,Yes,300.00,04-Jan-2022,Merchant Fee,3.93,Yes,33.3333%,"1,363.64","2,727.27"
130,23-Nov-2021,29-Nov-2021,Preliminary design and project management works at apartments ,3122,"19,360.00",Yes,s15,0.00,s.18(1)(a)(i),N/A,Head contractor,Pty Ltd Company,Solicitors,Developer,Pty Ltd Company,Solicitors,Determined,15-Dec-2021,N/A,Yes,Yes,Yes,Yes,15-Dec-2021,"19,360.00",,Hourly,"4,090.91",0.0000%,100.0000%,0.00,"4,090.91",Merchant Fee,53.59,N/A,Yes,300.00,04-Jan-2022,Merchant Fee,3.93,Yes,33.3333%,"1,363.64","2,727.27"
131,23-Nov-2021,13-Dec-2021,Supply and erection of structural steel,3168,"22,836.00",No,s18,N/A,s.18(1)(b),Yes,Major subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,29-Dec-2021,N/A,N/A,N/A,No,Yes,31-Dec-2021,"22,836.00",No,Hourly,"2,461.36",0.0000%,100.0000%,0.00,"2,461.36",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,33.3333%,820.45,"1,640.91"
132,23-Nov-2021,26-Nov-2021,Supply and install joinery to a multi-unit development,3108,"68,625.19",Yes,s15,260.00,s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,Claim preparer,Head contractor,Pty Ltd Company,Solicitors,Determined,17-Dec-2021,N/A,No,N/A,No,Yes,21-Dec-2021,"48,625.19",,Hourly,"7,363.64",0.0000%,100.0000%,0.00,"7,363.64",N/A,N/A,N/A,Yes,500.00,19-Jan-2022,Merchant Fee,6.55,Yes,33.3333%,"2,454.55","4,909.09"
133,25-Nov-2021,N/A,Building works,3025,"24,500.00",Yes,s15,"24,500.00",s.18(1)(a)(ii),N/A,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
134,26-Nov-2021,30-Nov-2021,Crane and rigging hire services,3127,"32,414.00",Yes,s15,"28,751.25",s.18(1)(a)(i),No,Trade subcontractor,Pty Ltd Company,Claim preparer,Developer,Pty Ltd Company,None,Determined,08-Dec-2021,N/A,No,Yes,No,Yes,14-Dec-2021,"31,365.00",No,Hourly,"3,250.00",0.0000%,100.0000%,0.00,"3,250.00",0,0.00,0.00,Yes,N/A,23-Dec-2021,N/A,0.00,Yes,25.0000%,812.50,"2,437.50"
135,29-Nov-2021,01-Dec-2021,Mechanical services works,3585,"46,499.99",Yes,s15,0.00,s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,None,Determined,17-Dec-2021,N/A,Yes,Yes,Yes,Yes,20-Dec-2021,0.00,No,Capped,"3,500.00",100.0000%,0.0000%,"3,500.00",0.00,N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,525.00,"2,975.00"
136,29-Nov-2021,01-Dec-2021,Painting works,3134,"47,928.00",Yes,s15,0.00,s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,08-Dec-2021,N/A,No,N/A,No,Yes,08-Dec-2021,0.00,No,Capped,0.00,0.0000%,0.0000%,0.00,0.00,N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,No,0.0000%,0.00,0.00
137,02-Dec-2021,N/A,Building works,3127,"43,160.00",Yes,s15,0.00,s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
138,03-Dec-2021,08-Dec-2021,Provision of labour,3212,"565,722.10",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,None,Determined,22-Dec-2021,N/A,No,N/A,No,Yes,24-Dec-2021,"565,722.10",No,Hourly,"3,272.73",0.0000%,100.0000%,0.00,"3,272.73",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,33.3333%,"1,090.91","2,181.82"
139,06-Dec-2021,08-Dec-2021,Roof replacement,3128,"27,356.88",No,N/A,N/A,s.18(1)(b),Yes,Head contractor,Pty Ltd Company,None,Other,Other,None,Not determined,,Timed out,No,No,No,N/A,N/A,0.00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
140,08-Dec-2021,13-Dec-2021,Plastering works,3072,"43,660.64",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,None,Determined,21-Dec-2021,N/A,No,N/A,No,Yes,23-Dec-2021,0.00,No,Hourly,"2,045.45",50.0000%,50.0000%,"1,022.73","1,022.73",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,33.3333%,681.82,"1,363.63"
141,09-Dec-2021,10-Dec-2021,"Design, fabricate and supply roof and wall framing components",3146,"16,616.68",Yes,s15,0.00,s.18(1)(a)(i),No,Trade subcontractor,Pty Ltd Company,Claim preparer,Head contractor,Pty Ltd Company,Not known,Not determined,,Settled by parties,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hourly,"1,600.00",100.0000%,0.0000%,"1,600.00",0.00,0,0.00,0.00,N/A,N/A,N/A,N/A,0.00,Yes,25.0000%,400.00,"1,200.00"
142,09-Dec-2021,13-Dec-2021,Framing works,3793,"29,735.00",Yes,s15,"20,000.00",s.18(1)(a)(ii),N/A,Trade subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Capped,0.00,0.0000%,0.0000%,0.00,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,No,0.0000%,0.00,0.00
143,10-Dec-2021,16-Dec-2021,Architectural services,3006,"2,557,451.46",No,N/A,N/A,s.18(1)(b),Yes,Head contractor,Pty Ltd Company,Solicitors,Developer,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,N/A,No,N/A,N/A,N/A,N/A,Hourly,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
144,13-Dec-2021,N/A,Landscaping works,3630,"73,432.49",Yes,s15,"51,044.23",s.18(1)(a)(ii),N/A,Trade subcontractor,Pty Ltd Company,None,Major subcontractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
145,14-Dec-2021,N/A,Framing works,3437,"20,510.00",Yes,s15,"20,050.27",s.18(1)(a)(ii),N/A,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
146,14-Dec-2021,16-Dec-2021,Structural steel works,3810,"153,281.62",Yes,s18,0.00,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Determined,30-Dec-2021,N/A,Yes,Yes,Yes,Yes,30-Dec-2021,"100,000.00",No,Hourly,"8,800.00",50.0000%,50.0000%,"4,400.00","4,400.00",N/A,N/A,0.00,Yes,0.00,10-Jan-2022,N/A,N/A,Yes,15.0000%,"1,320.00","7,480.00"
147,14-Dec-2021,16-Dec-2021,Structural steel works,3810,"84,526.86",Yes,s15,0.00,s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Determined,30-Dec-2021,N/A,Yes,Yes,Yes,Yes,30-Dec-2021,"39,313.62",No,Capped,"5,000.00",0.0000%,100.0000%,0.00,"5,000.00",N/A,N/A,0.00,Yes,0.00,10-Jan-2022,N/A,N/A,Yes,15.0000%,750.00,"4,250.00"
148,15-Dec-2021,20-Dec-2021,Scaffolding Hire,3975,"25,450.00",No,N/A,N/A,s.18(1)(b),Yes,Supplier,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Not determined,,Settled by parties,No,N/A,No,N/A,N/A,N/A,N/A,Hourly,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,M/A,N/A,N/A,N/A,N/A,N/A,0.00
149,17-Dec-2021,29-Dec-2021,Plastering and cladding,3066,"135,539.30",Yes,s15,"2,746.53",s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,10-Jan-2022,N/A,No,No,No,Yes,12-Jan-2022,"3,971.61",,Hourly,"4,090.91",100.0000%,0.0000%,"4,090.91",0.00,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,Yes,3.3333%,"1,363.64","2,727.27"
150,20-Dec-2021,N/A,Mechanical services,3121,"105,835.00",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Major subcontractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,0.00,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
151,21-Dec-2021,24-Dec-2021,Construction works,3127,"123,419.00",Yes,s15,0.00,s.18(1)(a)(i),N/A,Head contractor,Pty Ltd Company,Consultant,Developer,Pty Ltd Company,Solicitors,Determined,19-Jan-2022,N/A,No,N/A,Yes,Yes,19-Jan-2022,"54,701.00",,Hourly,"29,040.00",50.0000%,50.0000%,"14,520.00","14,520.00",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,"4,356.00","24,684.00"
152,21-Dec-2021,22-Dec-2021,Supply of structural steel,3175,"3,087.10",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,31-Dec-2021,N/A,No,N/A,No,Yes,05-Jan-2022,"3,087.10",No,Capped,660.00,0.0000%,100.0000%,0.00,660.00,N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,99.00,561.00
153,21-Dec-2021,22-Dec-2021,Supply of structural steel,3175,"1,128.35",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,31-Dec-2021,N/A,No,N/A,No,Yes,05-Jan-2022,"1,128.35",No,Capped,220.00,0.0000%,100.0000%,0.00,220.00,N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,33.00,187.00
154,21-Dec-2021,22-Dec-2021,Supply of structural steel,3175,"1,065.37",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,31-Dec-2021,N/A,No,N/A,No,Yes,05-Jan-2022,"1,065.37",No,Capped,220.00,0.0000%,100.0000%,0.00,220.00,N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,33.00,187.00
155,22-Dec-2021,23-Dec-2021,Construction works,3186,"203,517.80",Yes,s15,0.00,s.18(1)(a)(i),N/A,Head contractor,Pty Ltd Company,Solicitors,Developer,Other,Solicitors,Determined,15-Jan-2022,N/A,Yes,Yes,Yes,Yes,04-Feb-2022,"168,809.53",,Hourly,"17,600.00",50.0000%,50.0000%,"8,800.00","8,800.00",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,"2,640.00","14,960.00"
156,22-Dec-2021,23-Dec-2021,Construction works,3186,"193,029.75",Yes,s15,0.00,s.18(1)(a)(i),N/A,Head contractor,Pty Ltd Company,Solicitors,Developer,Other,Solicitors,Determined,15-Jan-2022,N/A,Yes,Yes,Yes,Yes,04-Feb-2022,"135,075.26",,Hourly,"17,600.00",50.0000%,50.0000%,"8,800.00","8,800.00",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,"2,640.00","14,960.00"
157,04-Jan-2022,06-Jan-2022,Civil works,3220,"265,529.17",Yes,s15,"56,985.40",s.18(1)(a)(i),N/A,Major subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,Solicitors,Not determined,,Settled by parties,Yes,Yes,Yes,N/A,N/A,0.00,,Hourly,"3,520.00",100.0000%,0.0000%,"3,520.00",0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,Yes,15.0000%,528.00,"2,992.00"
158,05-Jan-2022,06-Jan-2022,Landscaping works,3630,"1,389,461.62",Yes,s15,0.00,s.18(1)(a)(i),N/A,Major subcontractor,Trust,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Determined,28-Jan-2022,N/A,Yes,Yes,Yes,Yes,31-Jan-2022,"1,025,664.64",,Hourly,"52,800.00",50.0000%,50.0000%,"26,400.00","26,400.00",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,"7,920.00","44,880.00"
159,05-Jan-2022,07-Jan-2022,Mechanical Services,3121,"105,835.00",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Trust,None,Major subcontractor,Pty Ltd Company,None,Determined,17-Jan-2022,N/A,No,N/A,No,Yes,18-Jan-2022,"105,835.00",,Hourly,"6,954.55",0.0000%,100.0000%,0.00,"6,954.55",N/A,0.00,N/A,No,N/A,N/A,N/A,0.00,Yes,33.3300%,"2,318.13","4,636.42"
160,06-Jan-2022,11-Jan-2022,Roofing and cladding works,3977,"14,002.48",Yes,s15,"9,000.00",s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,0.00,,Capped,0.00,0.0000%,0.0000%,0.00,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,No,0.0000%,0.00,0.00
161,10-Jan-2022,17-Jan-2022,Shop drawings and steel supply,3109,"6,500.00",No,N/A,N/A,s.18(1)(b),Yes,Consultant,Pty Ltd Company,Claim preparer,Head contractor,Pty Ltd Company,None,Determined,01-Feb-2022,N/A,No,N/A,No,Yes,03-Feb-2022,"6,500.00",,Fixed,990.00,0.0000%,100.0000%,0.00,990.00,N/A,0.00,N/A,No,N/A,N/A,N/A,0.00,Yes,33.3300%,330.00,660.00
162,13-Jan-2022,19-Jan-2022,Concreting works,3630,"107,714.05",Yes,s15,0.00,s.18(1)(a)(i),N/A,Trade subcontractor,Pty Ltd Company,None,Major subcontractor,Pty Ltd Company,None,Determined,03-Feb-2022,N/A,Yes,Yes,Yes,Yes,15-Feb-2022,"11,484.90",,Hourly,"12,760.00",50.0000%,50.0000%,"6,380.00","6,380.00",N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,15.0000%,"1,914.00","10,846.00"
163,13-Jan-2022,17-Jan-2022,Structural Steel,3931,"123,504.55",No,N/A,N/A,s.18(1)(b),Yes,Major subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Determined,03-Feb-2022,N/A,No,N/A,No,Yes,04-Feb-2022,"123,504.55",,Hourly,"4,662.56",0.0000%,100.0000%,0.00,"4,662.56",Merchant Fee,60.29,N/A,Yes,500.00,17-Feb-2022,Yes,3.70,Yes,33.3300%,"1,554.19","3,108.37"
164,16-Jan-2022,19-Jan-2022,Carpentry Services,3073,"10,080.00",Yes,s15,"10,080.00",s.18(1)(a)(ii),No,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Settled by parties,N/A,N/A,N/A,N/A,N/A,0.00,,N/A,0.00,0.0000%,0.0000%,0.00,0.00,N/A,0.00,N/A,N/A,N/A,N/A,N/A,0.00,N/A,0.0000%,0.00,0.00
165,18-Jan-2022,19-Jan-2022,Construction works,3152,"142,260.00",No,N/A,N/A,s.18(1)(b),Yes,Major subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,Solicitors,Not determined,,Settled by parties,N/A,N/A,N/A,N/A,N/A,0.00,,Hourly,0.00,0.0000%,0.0000%,0.00,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,No,0.0000%,0.00,0.00
