




﻿No. of App.,Application date,Acceptance date,Description of project and contract works,Project postcode,Claimed amount (ex GST),Payment Schedule provided,Payment Schedule provision,Amount of Payment Schedule (ex GST),Section of Act application made under,Section 18(2) notice issued,Business Type/Activity (Claimant),Business Structure (Claimant),Claimant advisers,Business Type/Activity (Respondent),Business Structure (Respondent),Respondent advisers,Determination status,Determination completion date,Reasons if the application is not determined,s21(2B) new reasons provided by Respondent,s21(2B) notice sent to Claimant,s22(4)(b) extension of time sought,Determination released,Determination released date, Adjudicated amount (ex GST) ,Amended determination,Fee type,Total Adjudicator fee (ex GST),Adjudicator's fee payable by Claimant %,Adjudicator's fee payable by Respondent %,Adjudicator's fee payable by Claimant (ex GST),Adjudicator's fee payable by Respondent (ex GST),Other Adjudicator fees,Value of other Adjudicator fees (ex GST),ANA application fee (ex GST),Adjudication Certificate issued,Adjudication Certificate fee (ex GST),Date Adjudication Certificate issued,Other ANA fees,Value of Other ANA fees (ex GST),Adjudicator fee charged,ANA percentage of Adjudicator fee %,ANA fee from Adjudicator fee (ex GST),Adjudicator share of adjudicator fee - amount
22,02-Jul-2021,07-Jul-2021,"Supply and install temp fence, stormwater and fit off",3500,"6,154.36",No,s18,N/A,s.18(1)(b),Yes,Trade subcontractor,Sole Trader,Solicitors,Head contractor,Pty Ltd Company,None,Determined,28-Jul-2021,N/A,No,N/A,No,Yes,02-Aug-2021,"6,154.36",No,Hourly,613.64,0.0000%,100.0000%,0.00,613.64,N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,33.3333%,272.73,340.91
23,02-Jul-2021,07-Jul-2021,Supply and install under floor drainage and water tapping,3498,"4,845.00",No,s18,N/A,s.18(1)(b),Yes,Trade subcontractor,Sole Trader,Solicitors,Head contractor,Pty Ltd Company,None,Determined,28-Jul-2021,N/A,No,N/A,No,Yes,02-Aug-2021,"4,845.00",No,Hourly,613.64,0.0000%,100.0000%,0.00,613.64,N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,33.3333%,204.55,409.09
24,02-Jul-2021,07-Jul-2021,"Supply and install under floor drainage, metal roof and water meter",3500,"24,014.02",No,s18,N/A,s.18(1)(b),Yes,Trade subcontractor,Sole Trader,Solicitors,Head contractor,Pty Ltd Company,None,Determined,28-Jul-2021,N/A,No,N/A,No,Yes,02-Aug-2021,"24,014.02",No,Hourly,818.18,0.0000%,100.0000%,0.00,818.18,N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,33.3333%,272.73,545.45
25,02-Jul-2021,07-Jul-2021,"Supply and install under floor drainage, metal roof and water meter",3496,"19,401.94",No,s18,N/A,s.18(1)(b),Yes,Trade subcontractor,Sole Trader,Solicitors,Head contractor,Pty Ltd Company,None,Determined,28-Jul-2021,N/A,No,N/A,No,Yes,02-Aug-2021,"19,401.94",No,Hourly,818.18,0.0000%,100.0000%,0.00,818.18,N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,33.3333%,272.73,545.45
26,02-Jul-2021,07-Jul-2021,"Supply and install under floor drainage, metal roof and water meter",3496,"3,645.00",No,s18,N/A,s.18(1)(b),Yes,Trade subcontractor,Sole Trader,Solicitors,Head contractor,Pty Ltd Company,None,Determined,28-Jul-2021,N/A,No,N/A,No,Yes,02-Aug-2021,"3,645.00",No,Hourly,613.64,0.0000%,100.0000%,0.00,613.64,N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,33.3333%,204.55,409.09
27,02-Jul-2021,07-Jul-2021,Supply and install under floor spouting and fascia,3498,"7,477.26",No,s18,N/A,s.18(1)(b),Yes,Trade subcontractor,Sole Trader,Solicitors,Head contractor,Pty Ltd Company,None,Determined,28-Jul-2021,N/A,No,N/A,No,Yes,02-Aug-2021,"7,477.26",No,Hourly,613.64,0.0000%,100.0000%,0.00,613.64,N/A,N/A,0.00,No,N/A,N/A,N/A,N/A,Yes,33.3333%,204.55,409.09
28,07-Jul-2021,12-Jul-2021,Architect services for construction of apartments,3142,"52,719.00",No,N/A,N/A,s.18(1)(b),Yes,Consultant,Pty Ltd Company,Claim preparer,Developer,Sole Trader,Not known,Not determined,,Timed out,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
29,08-Jul-2021,N/A,Joinery works,3146,"51,755.13",No,N/A,N/A,s.18(1)(b),Yes,Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30,09-Jul-2021,14-Jul-2021,Supply of building materials to residential dwelling,3356,"46,426.18",Yes,s15,0.00,s.18(1)(a)(i),N/A,Supplier,Pty Ltd Company,None,Developer,Sole Trader,None,Determined,28-Jul-2021,N/A,No,N/A,No,Yes,29-Jul-2021,0.00,No,Hourly,"1,036.36",100.0000%,0.0000%,"1,036.36",0.00,Merchant Fee,13.26,0.00,No,N/A,N/A,N/A,N/A,Yes,33.3333%,345.45,690.91
31,14-Jul-2021,N/A,Installation of new roof and wall cladding,3191,"25,171.07",Yes,s15,0.00,s.18(1)(a)(i),N/A,Major subcontractor,Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Settled by parties,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00
32,15-Jul-2021,21-Jul-2021,Installation of new roof and wall cladding,3337,"13,565.21",Yes,s18,432.99,s.18(1)(b),Yes,Major subcontractor,Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,04-Aug-2021,N/A,No,N/A,N/A,Yes,05-Aug-2021,"6,069.35",N/A,Hourly,"2,072.73",50.0000%,50.0000%,"1,036.37","1,036.36",Merchant Fee,27.56,0.00,No,N/A,N/A,N/A,N/A,Yes,33.3333%,690.91,"1,381.82"
